Median Household Income by State by Race of Householder,,,,,,,,,,,,,,
State,White,Margin Of Error,Black or African American,Margin Of Error,American Indian and Alaska Native,Margin Of Error,Asian,Margin Of Error,Native Hawaiian and Other Pacific Islander,Margin Of Error,Some Other Race,Margin Of Error,Two or More Races,Margin Of Error
Maryland,"$94,278 ",+/- $562,"$67,583 ",+/- $916,"$71,803 ","+/- $6,462","$105,691 ","+/- $1,716","$76,106 ","+/- $22,009","$66,033 ","+/- $2,056","$81,646 ","+/- $3,236"
Massachusetts,"$85,789 ",+/- $487,"$51,842 ","+/- $1,215","$37,587 ","+/- $5,691","$96,556 ","+/- $1,858","$80,119 ","+/- $17,896","$45,297 ","+/- $1,521","$64,361 ","+/- $2,283"
Michigan,"$61,400 ",+/- $243,"$35,322 ",+/- $398,"$43,453 ","+/- $2,117","$86,611 ","+/- $1,882","$59,508 ","+/- $20,225","$44,286 ","+/- $1,733","$45,242 ","+/- $1,735"
Minnesota,"$74,387 ",+/- $294,"$37,811 ","+/- $1,065","$37,973 ","+/- $1,891","$79,482 ","+/- $1,692","$49,330 ","+/- $26,502","$49,138 ","+/- $2,549","$57,670 ","+/- $2,512"
Mississippi,"$55,957 ",+/- $598,"$30,714 ",+/- $381,"$32,510 ","+/- $4,857","$59,529 ","+/- $3,746","$27,391 ","+/- $19,121","$42,284 ","+/- $3,124","$41,848 ","+/- $2,420"
Missouri,"$58,921 ",+/- $327,"$37,179 ",+/- $621,"$38,999 ","+/- $3,266","$68,497 ","+/- $3,630","$48,410 ","+/- $8,546","$40,767 ","+/- $1,902","$45,758 ","+/- $2,097"
Montana,"$56,282 ",+/- $641,"$44,614 ","+/- $8,974","$33,535 ","+/- $2,385","$61,022 ","+/- $7,763","$36,210 ","+/- $8,608","$58,798 ","+/- $17,074","$41,806 ","+/- $2,622"
Nebraska,"$63,641 ",+/- $376,"$35,976 ","+/- $1,971","$40,910 ","+/- $3,303","$58,586 ","+/- $4,144","$35,625 ","+/- $17,494","$50,275 ","+/- $2,953","$45,606 ","+/- $3,666"
Nevada,"$64,008 ",+/- $459,"$41,034 ","+/- $1,069","$44,324 ","+/- $2,464","$68,965 ","+/- $1,591","$61,578 ","+/- $6,308","$48,334 ","+/- $1,376","$58,436 ","+/- $1,805"
New Hampshire,"$77,015 ",+/- $751,"$57,925 ","+/- $9,460","$57,250 ","+/- $11,412","$87,364 ","+/- $7,921",$X,X,"$77,734 ","+/- $4,027","$62,646 ","+/- $5,516"
New Jersey,"$88,810 ",+/- $440,"$53,247 ",+/- $650,"$61,204 ","+/- $8,764","$121,111 ","+/- $1,510","$47,188 ","+/- $19,336","$49,881 ","+/- $1,281","$73,147 ","+/- $2,824"
New Mexico,"$52,444 ",+/- $532,"$40,528 ","+/- $3,618","$35,349 ","+/- $1,237","$65,144 ","+/- $5,630","$49,767 ","+/- $29,918","$37,490 ",+/- $998,"$50,133 ","+/- $3,520"
New York,"$76,737 ",+/- $292,"$48,557 ",+/- $468,"$41,509 ","+/- $2,166","$76,341 ",+/- $803,"$54,593 ","+/- $13,624","$42,907 ",+/- $672,"$60,767 ","+/- $1,356"
North Carolina,"$60,845 ",+/- $303,"$39,108 ",+/- $332,"$40,272 ","+/- $1,355","$84,513 ","+/- $1,663","$44,740 ","+/- $8,179","$40,405 ",+/- $899,"$49,025 ","+/- $2,011"
North Dakota,"$68,066 ",+/- $864,"$37,872 ","+/- $3,766","$37,746 ","+/- $2,854","$64,953 ","+/- $9,926",$X,X,"$50,915 ","+/- $9,564","$60,137 ","+/- $5,767"
Ohio,"$61,108 ",+/- $233,"$33,158 ",+/- $416,"$34,943 ","+/- $3,959","$76,054 ","+/- $2,675","$46,985 ","+/- $14,710","$41,634 ","+/- $1,814","$41,007 ","+/- $1,307"
Oklahoma,"$56,266 ",+/- $335,"$35,296 ",+/- $889,"$44,745 ",+/- $918,"$60,082 ","+/- $2,898","$45,417 ","+/- $11,862","$41,834 ","+/- $1,387","$47,034 ",+/- $822
Oregon,"$63,499 ",+/- $301,"$41,773 ","+/- $2,822","$44,324 ","+/- $4,268","$78,790 ","+/- $2,902","$62,755 ","+/- $3,285","$54,401 ","+/- $1,624","$55,555 ","+/- $2,032"
Pennsylvania,"$65,306 ",+/- $226,"$38,560 ",+/- $489,"$40,622 ","+/- $4,004","$76,682 ","+/- $1,876","$47,237 ","+/- $17,541","$36,566 ","+/- $1,187","$48,713 ","+/- $1,533"
Rhode Island,"$71,096 ",+/- $972,"$45,727 ","+/- $2,677","$37,621 ","+/- $8,585","$77,420 ","+/- $3,007","$40,507 ","+/- $16,044","$37,910 ","+/- $3,582","$48,717 ","+/- $4,028"
South Carolina,"$61,722 ",+/- $372,"$35,092 ",+/- $495,"$43,861 ","+/- $3,836","$66,846 ","+/- $3,800","$47,449 ","+/- $21,572","$41,934 ","+/- $1,567","$49,471 ","+/- $3,099"
South Dakota,"$61,351 ",+/- $736,"$38,706 ","+/- $8,268","$27,902 ","+/- $1,702","$52,786 ","+/- $6,467","$37,546 ","+/- $16,496","$47,091 ","+/- $8,048","$42,601 ","+/- $6,377"
Tennessee,"$56,725 ",+/- $301,"$38,791 ",+/- $525,"$44,764 ","+/- $4,400","$76,677 ","+/- $2,668","$38,526 ","+/- $14,622","$40,634 ","+/- $2,193","$45,841 ","+/- $2,636"
Texas,"$64,810 ",+/- $202,"$46,572 ",+/- $405,"$56,394 ","+/- $2,044","$88,486 ","+/- $1,450","$55,136 ","+/- $4,261","$45,681 ",+/- $545,"$60,327 ","+/- $1,013"
Utah,"$73,580 ",+/- $459,"$41,752 ","+/- $3,353","$45,957 ","+/- $5,081","$73,139 ","+/- $2,883","$66,391 ","+/- $6,568","$51,365 ","+/- $1,497","$61,957 ","+/- $2,428"
Vermont,"$62,539 ",+/- $669,"$39,400 ","+/- $4,653","$41,959 ","+/- $9,025","$59,241 ","+/- $4,692","$43,125 ","+/- $14,404","$67,551 ","+/- $21,143","$45,288 ","+/- $5,674"
Virginia,"$79,578 ",+/- $406,"$51,654 ",+/- $640,"$62,186 ","+/- $3,915","$105,931 ","+/- $1,661","$78,021 ","+/- $10,622","$59,123 ","+/- $1,858","$73,026 ","+/- $1,624"
Washington,"$75,135 ",+/- $295,"$52,742 ","+/- $1,612","$48,699 ","+/- $1,866","$96,975 ","+/- $1,621","$69,195 ","+/- $4,981","$51,228 ",+/- $888,"$67,541 ","+/- $1,572"
West Virginia,"$47,143 ",+/- $502,"$33,133 ","+/- $2,755","$30,406 ","+/- $6,731","$64,567 ","+/- $12,503",$X,X,"$43,554 ","+/- $7,438","$43,148 ","+/- $5,766"
Wisconsin,"$64,377 ",+/- $197,"$31,351 ",+/- $704,"$42,439 ","+/- $1,777","$71,786 ","+/- $1,968","$58,049 ","+/- $20,720","$44,466 ","+/- $2,285","$49,958 ","+/- $2,427"
Wyoming,"$64,820 ",+/- $844,"$47,386 ","+/- $17,156","$51,277 ","+/- $5,015","$54,516 ","+/- $5,240",$X,X,"$48,640 ","+/- $14,220","$54,405 ","+/- $5,476"
Puerto Rico,"$21,721 ",+/- $234,"$19,525 ",+/- $497,"$25,330 ","+/- $3,923","$22,390 ","+/- $9,038",$X,X,"$16,890 ",+/- $306,"$21,543 ",+/- $908
"Source(s): U.S. Census Bureau, 2015-2019 American Community Survey 5-Year Estimates 
 Powered by the U.S. Census Bureau
 Data may contain sampling error. Sampling error and margin of errormay render some of the differences between geographies statistically insignificant.An 'X' entry indicates that either no sample observations or too few sample observations were available to compute an estimate.Note that an 'X' entry in other US Census Bureau tables could indicate a different issue.
  ",,,,,,,,,,,,,,
